county,candidate,votes,district,party,office
Adams,Jim Petro,4562,,R,Attorney General
Adams,Leigh Herington,2139,,D,Attorney General
Allen,Jim Petro,21330,,R,Attorney General
Allen,Leigh Herington,8070,,D,Attorney General
Ashland,Jim Petro,10726,,R,Attorney General
Ashland,Leigh Herington,4056,,D,Attorney General
Ashtabula,Jim Petro,15850,,R,Attorney General
Ashtabula,Leigh Herington,10731,,D,Attorney General
Athens,Leigh Herington,7964,,D,Attorney General
Athens,Jim Petro,7880,,R,Attorney General
Auglaize,Jim Petro,10186,,R,Attorney General
Auglaize,Leigh Herington,3086,,D,Attorney General
Belmont,Leigh Herington,10382,,D,Attorney General
Belmont,Jim Petro,9698,,R,Attorney General
Brown,Jim Petro,7583,,R,Attorney General
Brown,Leigh Herington,3607,,D,Attorney General
Butler,Jim Petro,61322,,R,Attorney General
Butler,Leigh Herington,23240,,D,Attorney General
Carroll,Jim Petro,5454,,R,Attorney General
Carroll,Leigh Herington,3080,,D,Attorney General
Champaign,Jim Petro,7724,,R,Attorney General
Champaign,Leigh Herington,2805,,D,Attorney General
Clark,Jim Petro,24495,,R,Attorney General
Clark,Leigh Herington,13480,,D,Attorney General
Clermont,Jim Petro,31132,,R,Attorney General
Clermont,Leigh Herington,10823,,D,Attorney General
Clinton,Jim Petro,7724,,R,Attorney General
Clinton,Leigh Herington,2456,,D,Attorney General
Columbiana,Jim Petro,18805,,R,Attorney General
Columbiana,Leigh Herington,11360,,D,Attorney General
Coshocton,Jim Petro,6750,,R,Attorney General
Coshocton,Leigh Herington,3343,,D,Attorney General
Crawford,Jim Petro,9273,,R,Attorney General
Crawford,Leigh Herington,3755,,D,Attorney General
Cuyahoga,Jim Petro,193774,,R,Attorney General
Cuyahoga,Leigh Herington,167782,,D,Attorney General
Darke,Jim Petro,12998,,R,Attorney General
Darke,Leigh Herington,4093,,D,Attorney General
Defiance,Jim Petro,7068,,R,Attorney General
Defiance,Leigh Herington,3485,,D,Attorney General
Delaware,Jim Petro,30447,,R,Attorney General
Delaware,Leigh Herington,8316,,D,Attorney General
Erie,Jim Petro,14598,,R,Attorney General
Erie,Leigh Herington,9671,,D,Attorney General
Fairfield,Jim Petro,29125,,R,Attorney General
Fairfield,Leigh Herington,9346,,D,Attorney General
Fayette,Jim Petro,4924,,R,Attorney General
Fayette,Leigh Herington,1528,,D,Attorney General
Franklin,Jim Petro,172230,,R,Attorney General
Franklin,Leigh Herington,98721,,D,Attorney General
Fulton,Jim Petro,9719,,R,Attorney General
Fulton,Leigh Herington,3020,,D,Attorney General
Gallia,Jim Petro,5862,,R,Attorney General
Gallia,Leigh Herington,3059,,D,Attorney General
Geauga,Jim Petro,22563,,R,Attorney General
Geauga,Leigh Herington,8382,,D,Attorney General
Greene,Jim Petro,30696,,R,Attorney General
Greene,Leigh Herington,11517,,D,Attorney General
Guernsey,Jim Petro,6875,,R,Attorney General
Guernsey,Leigh Herington,3756,,D,Attorney General
Hamilton,Jim Petro,152681,,R,Attorney General
Hamilton,Leigh Herington,84064,,D,Attorney General
Hancock,Jim Petro,16126,,R,Attorney General
Hancock,Leigh Herington,4111,,D,Attorney General
Hardin,Jim Petro,5586,,R,Attorney General
Hardin,Leigh Herington,2585,,D,Attorney General
Harrison,Jim Petro,3050,,R,Attorney General
Harrison,Leigh Herington,2517,,D,Attorney General
Henry,Jim Petro,6903,,R,Attorney General
Henry,Leigh Herington,2051,,D,Attorney General
Highland,Jim Petro,7772,,R,Attorney General
Highland,Leigh Herington,3093,,D,Attorney General
Hocking,Jim Petro,4644,,R,Attorney General
Hocking,Leigh Herington,2823,,D,Attorney General
Holmes,Jim Petro,4680,,R,Attorney General
Holmes,Leigh Herington,1279,,D,Attorney General
Huron,Jim Petro,10425,,R,Attorney General
Huron,Leigh Herington,4349,,D,Attorney General
Jackson,Jim Petro,5696,,R,Attorney General
Jackson,Leigh Herington,2961,,D,Attorney General
Jefferson,Jim Petro,11507,,R,Attorney General
Jefferson,Leigh Herington,11063,,D,Attorney General
Knox,Jim Petro,10339,,R,Attorney General
Knox,Leigh Herington,3644,,D,Attorney General
Lake,Jim Petro,42253,,R,Attorney General
Lake,Leigh Herington,20073,,D,Attorney General
Lawrence,Jim Petro,8676,,R,Attorney General
Lawrence,Leigh Herington,6324,,D,Attorney General
Licking,Jim Petro,33756,,R,Attorney General
Licking,Leigh Herington,12758,,D,Attorney General
Logan,Jim Petro,9572,,R,Attorney General
Logan,Leigh Herington,2870,,D,Attorney General
Lorain,Jim Petro,45481,,R,Attorney General
Lorain,Leigh Herington,30303,,D,Attorney General
Lucas,Jim Petro,73309,,R,Attorney General
Lucas,Leigh Herington,45262,,D,Attorney General
Madison,Jim Petro,8016,,R,Attorney General
Madison,Leigh Herington,2379,,D,Attorney General
Mahoning,Jim Petro,47090,,R,Attorney General
Mahoning,Leigh Herington,33300,,D,Attorney General
Marion,Jim Petro,11810,,R,Attorney General
Marion,Leigh Herington,5309,,D,Attorney General
Medina,Jim Petro,32166,,R,Attorney General
Medina,Leigh Herington,13282,,D,Attorney General
Meigs,Jim Petro,4343,,R,Attorney General
Meigs,Leigh Herington,2227,,D,Attorney General
Mercer,Jim Petro,10899,,R,Attorney General
Mercer,Leigh Herington,3375,,D,Attorney General
Miami,Jim Petro,21925,,R,Attorney General
Miami,Leigh Herington,7437,,D,Attorney General
Monroe,Leigh Herington,2600,,D,Attorney General
Monroe,Jim Petro,2264,,R,Attorney General
Montgomery,Jim Petro,101186,,R,Attorney General
Montgomery,Leigh Herington,56073,,D,Attorney General
Morgan,Jim Petro,3192,,R,Attorney General
Morgan,Leigh Herington,1333,,D,Attorney General
Morrow,Jim Petro,6784,,R,Attorney General
Morrow,Leigh Herington,2675,,D,Attorney General
Muskingum,Jim Petro,15620,,R,Attorney General
Muskingum,Leigh Herington,6523,,D,Attorney General
Noble,Jim Petro,2604,,R,Attorney General
Noble,Leigh Herington,1550,,D,Attorney General
Ottawa,Jim Petro,9809,,R,Attorney General
Ottawa,Leigh Herington,4927,,D,Attorney General
Paulding,Jim Petro,3784,,R,Attorney General
Paulding,Leigh Herington,2260,,D,Attorney General
Perry,Jim Petro,5590,,R,Attorney General
Perry,Leigh Herington,3311,,D,Attorney General
Pickaway,Jim Petro,8566,,R,Attorney General
Pickaway,Leigh Herington,3111,,D,Attorney General
Pike,Jim Petro,3987,,R,Attorney General
Pike,Leigh Herington,3580,,D,Attorney General
Portage,Leigh Herington,22031,,D,Attorney General
Portage,Jim Petro,18875,,R,Attorney General
Preble,Jim Petro,8327,,R,Attorney General
Preble,Leigh Herington,3026,,D,Attorney General
Putnam,Jim Petro,9072,,R,Attorney General
Putnam,Leigh Herington,2872,,D,Attorney General
Richland,Jim Petro,23790,,R,Attorney General
Richland,Leigh Herington,12508,,D,Attorney General
Ross,Jim Petro,11611,,R,Attorney General
Ross,Leigh Herington,6009,,D,Attorney General
Sandusky,Jim Petro,12954,,R,Attorney General
Sandusky,Leigh Herington,5732,,D,Attorney General
Scioto,Jim Petro,11829,,R,Attorney General
Scioto,Leigh Herington,9608,,D,Attorney General
Seneca,Jim Petro,11833,,R,Attorney General
Seneca,Leigh Herington,4592,,D,Attorney General
Shelby,Jim Petro,10455,,R,Attorney General
Shelby,Leigh Herington,3793,,D,Attorney General
Stark,Jim Petro,68802,,R,Attorney General
Stark,Leigh Herington,42705,,D,Attorney General
Summit,Jim Petro,85609,,R,Attorney General
Summit,Leigh Herington,69049,,D,Attorney General
Trumbull,Jim Petro,38914,,R,Attorney General
Trumbull,Leigh Herington,30302,,D,Attorney General
Tuscarawas,Jim Petro,14856,,R,Attorney General
Tuscarawas,Leigh Herington,9603,,D,Attorney General
Union,Jim Petro,9416,,R,Attorney General
Union,Leigh Herington,2545,,D,Attorney General
Van Wert,Jim Petro,6536,,R,Attorney General
Van Wert,Leigh Herington,2380,,D,Attorney General
Vinton,Jim Petro,2249,,R,Attorney General
Vinton,Leigh Herington,1393,,D,Attorney General
Warren,Jim Petro,38074,,R,Attorney General
Warren,Leigh Herington,10273,,D,Attorney General
Washington,Jim Petro,11126,,R,Attorney General
Washington,Leigh Herington,6544,,D,Attorney General
Wayne,Jim Petro,21186,,R,Attorney General
Wayne,Leigh Herington,8396,,D,Attorney General
Williams,Jim Petro,7859,,R,Attorney General
Williams,Leigh Herington,2992,,D,Attorney General
Wood,Jim Petro,25820,,R,Attorney General
Wood,Leigh Herington,11063,,D,Attorney General
Wyandot,Jim Petro,4754,,R,Attorney General
Wyandot,Leigh Herington,1467,,D,Attorney General
Adams,Betty Montgomery,4518,,R,Auditor of State
Adams,Helen Smith,2232,,D,Auditor of State
Allen,Betty Montgomery,21767,,R,Auditor of State
Allen,Helen Smith,7784,,D,Auditor of State
Ashland,Betty Montgomery,10560,,R,Auditor of State
Ashland,Helen Smith,4239,,D,Auditor of State
Ashtabula,Betty Montgomery,15795,,R,Auditor of State
Ashtabula,Helen Smith,10642,,D,Auditor of State
Athens,Betty Montgomery,8017,,R,Auditor of State
Athens,Helen Smith,7749,,D,Auditor of State
Auglaize,Betty Montgomery,10026,,R,Auditor of State
Auglaize,Helen Smith,3234,,D,Auditor of State
Belmont,Helen Smith,10484,,D,Auditor of State
Belmont,Betty Montgomery,9480,,R,Auditor of State
Brown,Betty Montgomery,7645,,R,Auditor of State
Brown,Helen Smith,3598,,D,Auditor of State
Butler,Betty Montgomery,62058,,R,Auditor of State
Butler,Helen Smith,22553,,D,Auditor of State
Carroll,Betty Montgomery,5504,,R,Auditor of State
Carroll,Helen Smith,3050,,D,Auditor of State
Champaign,Betty Montgomery,7703,,R,Auditor of State
Champaign,Helen Smith,2793,,D,Auditor of State
Clark,Betty Montgomery,24826,,R,Auditor of State
Clark,Helen Smith,13183,,D,Auditor of State
Clermont,Betty Montgomery,31793,,R,Auditor of State
Clermont,Helen Smith,9956,,D,Auditor of State
Clinton,Betty Montgomery,7654,,R,Auditor of State
Clinton,Helen Smith,2526,,D,Auditor of State
Columbiana,Betty Montgomery,18219,,R,Auditor of State
Columbiana,Helen Smith,11766,,D,Auditor of State
Coshocton,Betty Montgomery,6643,,R,Auditor of State
Coshocton,Helen Smith,3513,,D,Auditor of State
Crawford,Betty Montgomery,9370,,R,Auditor of State
Crawford,Helen Smith,3639,,D,Auditor of State
Cuyahoga,Helen Smith,179172,,D,Auditor of State
Cuyahoga,Betty Montgomery,178024,,R,Auditor of State
Darke,Betty Montgomery,12628,,R,Auditor of State
Darke,Helen Smith,4453,,D,Auditor of State
Defiance,Betty Montgomery,7019,,R,Auditor of State
Defiance,Helen Smith,3507,,D,Auditor of State
Delaware,Betty Montgomery,30483,,R,Auditor of State
Delaware,Helen Smith,8183,,D,Auditor of State
Erie,Betty Montgomery,15168,,R,Auditor of State
Erie,Helen Smith,9212,,D,Auditor of State
Fairfield,Betty Montgomery,28918,,R,Auditor of State
Fairfield,Helen Smith,9521,,D,Auditor of State
Fayette,Betty Montgomery,5000,,R,Auditor of State
Fayette,Helen Smith,1483,,D,Auditor of State
Franklin,Betty Montgomery,173918,,R,Auditor of State
Franklin,Helen Smith,96312,,D,Auditor of State
Fulton,Betty Montgomery,9705,,R,Auditor of State
Fulton,Helen Smith,3017,,D,Auditor of State
Gallia,Betty Montgomery,5895,,R,Auditor of State
Gallia,Helen Smith,3064,,D,Auditor of State
Geauga,Betty Montgomery,22735,,R,Auditor of State
Geauga,Helen Smith,8197,,D,Auditor of State
Greene,Betty Montgomery,30530,,R,Auditor of State
Greene,Helen Smith,11589,,D,Auditor of State
Guernsey,Betty Montgomery,6995,,R,Auditor of State
Guernsey,Helen Smith,3682,,D,Auditor of State
Hamilton,Betty Montgomery,159504,,R,Auditor of State
Hamilton,Helen Smith,78631,,D,Auditor of State
Hancock,Betty Montgomery,15943,,R,Auditor of State
Hancock,Helen Smith,4320,,D,Auditor of State
Hardin,Betty Montgomery,5706,,R,Auditor of State
Hardin,Helen Smith,2512,,D,Auditor of State
Harrison,Betty Montgomery,3014,,R,Auditor of State
Harrison,Helen Smith,2528,,D,Auditor of State
Henry,Betty Montgomery,6913,,R,Auditor of State
Henry,Helen Smith,2063,,D,Auditor of State
Highland,Betty Montgomery,7848,,R,Auditor of State
Highland,Helen Smith,3095,,D,Auditor of State
Hocking,Betty Montgomery,4718,,R,Auditor of State
Hocking,Helen Smith,2770,,D,Auditor of State
Holmes,Betty Montgomery,4547,,R,Auditor of State
Holmes,Helen Smith,1357,,D,Auditor of State
Huron,Betty Montgomery,10168,,R,Auditor of State
Huron,Helen Smith,4572,,D,Auditor of State
Jackson,Betty Montgomery,5942,,R,Auditor of State
Jackson,Helen Smith,2821,,D,Auditor of State
Jefferson,Betty Montgomery,11325,,R,Auditor of State
Jefferson,Helen Smith,10935,,D,Auditor of State
Knox,Betty Montgomery,10325,,R,Auditor of State
Knox,Helen Smith,3626,,D,Auditor of State
Lake,Betty Montgomery,41197,,R,Auditor of State
Lake,Helen Smith,19828,,D,Auditor of State
Lawrence,Betty Montgomery,8397,,R,Auditor of State
Lawrence,Helen Smith,6452,,D,Auditor of State
Licking,Betty Montgomery,33901,,R,Auditor of State
Licking,Helen Smith,12668,,D,Auditor of State
Logan,Betty Montgomery,9596,,R,Auditor of State
Logan,Helen Smith,2912,,D,Auditor of State
Lorain,Betty Montgomery,44430,,R,Auditor of State
Lorain,Helen Smith,30861,,D,Auditor of State
Lucas,Betty Montgomery,77742,,R,Auditor of State
Lucas,Helen Smith,42734,,D,Auditor of State
Madison,Betty Montgomery,8091,,R,Auditor of State
Madison,Helen Smith,2374,,D,Auditor of State
Mahoning,Betty Montgomery,41023,,R,Auditor of State
Mahoning,Helen Smith,38102,,D,Auditor of State
Marion,Betty Montgomery,12037,,R,Auditor of State
Marion,Helen Smith,5154,,D,Auditor of State
Medina,Betty Montgomery,31944,,R,Auditor of State
Medina,Helen Smith,13320,,D,Auditor of State
Meigs,Betty Montgomery,4313,,R,Auditor of State
Meigs,Helen Smith,2264,,D,Auditor of State
Mercer,Betty Montgomery,10746,,R,Auditor of State
Mercer,Helen Smith,3561,,D,Auditor of State
Miami,Betty Montgomery,21511,,R,Auditor of State
Miami,Helen Smith,7759,,D,Auditor of State
Monroe,Helen Smith,2701,,D,Auditor of State
Monroe,Betty Montgomery,2130,,R,Auditor of State
Montgomery,Betty Montgomery,102304,,R,Auditor of State
Montgomery,Helen Smith,55131,,D,Auditor of State
Morgan,Betty Montgomery,3118,,R,Auditor of State
Morgan,Helen Smith,1403,,D,Auditor of State
Morrow,Betty Montgomery,6645,,R,Auditor of State
Morrow,Helen Smith,2778,,D,Auditor of State
Muskingum,Betty Montgomery,15848,,R,Auditor of State
Muskingum,Helen Smith,6553,,D,Auditor of State
Noble,Betty Montgomery,2641,,R,Auditor of State
Noble,Helen Smith,1553,,D,Auditor of State
Ottawa,Betty Montgomery,10150,,R,Auditor of State
Ottawa,Helen Smith,4659,,D,Auditor of State
Paulding,Betty Montgomery,3771,,R,Auditor of State
Paulding,Helen Smith,2217,,D,Auditor of State
Perry,Betty Montgomery,5573,,R,Auditor of State
Perry,Helen Smith,3360,,D,Auditor of State
Pickaway,Betty Montgomery,8642,,R,Auditor of State
Pickaway,Helen Smith,3057,,D,Auditor of State
Pike,Betty Montgomery,4040,,R,Auditor of State
Pike,Helen Smith,3598,,D,Auditor of State
Portage,Betty Montgomery,23875,,R,Auditor of State
Portage,Helen Smith,16272,,D,Auditor of State
Preble,Betty Montgomery,8258,,R,Auditor of State
Preble,Helen Smith,3043,,D,Auditor of State
Putnam,Betty Montgomery,8952,,R,Auditor of State
Putnam,Helen Smith,3070,,D,Auditor of State
Richland,Betty Montgomery,23627,,R,Auditor of State
Richland,Helen Smith,12743,,D,Auditor of State
Ross,Betty Montgomery,11789,,R,Auditor of State
Ross,Helen Smith,5815,,D,Auditor of State
Sandusky,Betty Montgomery,12814,,R,Auditor of State
Sandusky,Helen Smith,5920,,D,Auditor of State
Scioto,Betty Montgomery,12075,,R,Auditor of State
Scioto,Helen Smith,9413,,D,Auditor of State
Seneca,Betty Montgomery,11201,,R,Auditor of State
Seneca,Helen Smith,5068,,D,Auditor of State
Shelby,Betty Montgomery,10323,,R,Auditor of State
Shelby,Helen Smith,3962,,D,Auditor of State
Stark,Betty Montgomery,70858,,R,Auditor of State
Stark,Helen Smith,40579,,D,Auditor of State
Summit,Betty Montgomery,91387,,R,Auditor of State
Summit,Helen Smith,63182,,D,Auditor of State
Trumbull,Betty Montgomery,36283,,R,Auditor of State
Trumbull,Helen Smith,32380,,D,Auditor of State
Tuscarawas,Betty Montgomery,14887,,R,Auditor of State
Tuscarawas,Helen Smith,9506,,D,Auditor of State
Union,Betty Montgomery,9594,,R,Auditor of State
Union,Helen Smith,2433,,D,Auditor of State
Van Wert,Betty Montgomery,6589,,R,Auditor of State
Van Wert,Helen Smith,2336,,D,Auditor of State
Vinton,Betty Montgomery,2301,,R,Auditor of State
Vinton,Helen Smith,1389,,D,Auditor of State
Warren,Betty Montgomery,38293,,R,Auditor of State
Warren,Helen Smith,9957,,D,Auditor of State
Washington,Betty Montgomery,11194,,R,Auditor of State
Washington,Helen Smith,6492,,D,Auditor of State
Wayne,Betty Montgomery,21444,,R,Auditor of State
Wayne,Helen Smith,8245,,D,Auditor of State
Williams,Betty Montgomery,7706,,R,Auditor of State
Williams,Helen Smith,3134,,D,Auditor of State
Wood,Betty Montgomery,27529,,R,Auditor of State
Wood,Helen Smith,9943,,D,Auditor of State
Wyandot,Betty Montgomery,4704,,R,Auditor of State
Wyandot,Helen Smith,1513,,D,Auditor of State
Adams,Bob Taft,4296,,R,Governor
Adams,Timothy Hagan,2177,,D,Governor
Adams,John Eastman,302,,,Governor
Adams,Eva Braiman,0,,WI,Governor
Adams,James Whitman,0,,WI,Governor
Allen,Bob Taft,19226,,R,Governor
Allen,Timothy Hagan,8581,,D,Governor
Allen,John Eastman,1891,,,Governor
Allen,James Whitman,2,,WI,Governor
Allen,Eva Braiman,0,,WI,Governor
Ashland,Bob Taft,9894,,R,Governor
Ashland,Timothy Hagan,4607,,D,Governor
Ashland,John Eastman,529,,,Governor
Ashland,James Whitman,7,,WI,Governor
Ashland,Eva Braiman,0,,WI,Governor
Ashtabula,Bob Taft,14825,,R,Governor
Ashtabula,Timothy Hagan,11472,,D,Governor
Ashtabula,John Eastman,1097,,,Governor
Ashtabula,James Whitman,1,,WI,Governor
Ashtabula,Eva Braiman,0,,WI,Governor
Athens,Timothy Hagan,8408,,D,Governor
Athens,Bob Taft,7018,,R,Governor
Athens,John Eastman,930,,,Governor
Athens,James Whitman,1,,WI,Governor
Athens,Eva Braiman,0,,WI,Governor
Auglaize,Bob Taft,9559,,R,Governor
Auglaize,Timothy Hagan,3096,,D,Governor
Auglaize,John Eastman,836,,,Governor
Auglaize,James Whitman,3,,WI,Governor
Auglaize,Eva Braiman,0,,WI,Governor
Belmont,Bob Taft,10299,,R,Governor
Belmont,Timothy Hagan,9492,,D,Governor
Belmont,John Eastman,852,,,Governor
Belmont,Eva Braiman,0,,WI,Governor
Belmont,James Whitman,0,,WI,Governor
Brown,Bob Taft,7881,,R,Governor
Brown,Timothy Hagan,3181,,D,Governor
Brown,John Eastman,488,,,Governor
Brown,Eva Braiman,0,,WI,Governor
Brown,James Whitman,0,,WI,Governor
Butler,Bob Taft,62076,,R,Governor
Butler,Timothy Hagan,20896,,D,Governor
Butler,John Eastman,3689,,,Governor
Butler,James Whitman,2,,WI,Governor
Butler,Eva Braiman,0,,WI,Governor
Carroll,Bob Taft,5254,,R,Governor
Carroll,Timothy Hagan,3104,,D,Governor
Carroll,John Eastman,394,,,Governor
Carroll,James Whitman,1,,WI,Governor
Carroll,Eva Braiman,0,,WI,Governor
Champaign,Bob Taft,7067,,R,Governor
Champaign,Timothy Hagan,2880,,D,Governor
Champaign,John Eastman,658,,,Governor
Champaign,Eva Braiman,0,,WI,Governor
Champaign,James Whitman,0,,WI,Governor
Clark,Bob Taft,22846,,R,Governor
Clark,Timothy Hagan,12398,,D,Governor
Clark,John Eastman,2273,,,Governor
Clark,James Whitman,4,,WI,Governor
Clark,Eva Braiman,1,,WI,Governor
Clermont,Bob Taft,31723,,R,Governor
Clermont,Timothy Hagan,9073,,D,Governor
Clermont,John Eastman,1639,,,Governor
Clermont,James Whitman,5,,WI,Governor
Clermont,Eva Braiman,0,,WI,Governor
Clinton,Bob Taft,7321,,R,Governor
Clinton,Timothy Hagan,2463,,D,Governor
Clinton,John Eastman,488,,,Governor
Clinton,Eva Braiman,0,,WI,Governor
Clinton,James Whitman,0,,WI,Governor
Columbiana,Bob Taft,18245,,R,Governor
Columbiana,Timothy Hagan,11419,,D,Governor
Columbiana,John Eastman,1249,,,Governor
Columbiana,James Whitman,4,,WI,Governor
Columbiana,Eva Braiman,0,,WI,Governor
Coshocton,Bob Taft,6881,,R,Governor
Coshocton,Timothy Hagan,2948,,D,Governor
Coshocton,John Eastman,508,,,Governor
Coshocton,Eva Braiman,0,,WI,Governor
Coshocton,James Whitman,0,,WI,Governor
Crawford,Bob Taft,8676,,R,Governor
Crawford,Timothy Hagan,3859,,D,Governor
Crawford,John Eastman,619,,,Governor
Crawford,James Whitman,1,,WI,Governor
Crawford,Eva Braiman,0,,WI,Governor
Cuyahoga,Timothy Hagan,225582,,D,Governor
Cuyahoga,Bob Taft,142874,,R,Governor
Cuyahoga,John Eastman,10481,,,Governor
Cuyahoga,James Whitman,9,,WI,Governor
Cuyahoga,Eva Braiman,6,,WI,Governor
Darke,Bob Taft,12310,,R,Governor
Darke,Timothy Hagan,4216,,D,Governor
Darke,John Eastman,929,,,Governor
Darke,James Whitman,1,,WI,Governor
Darke,Eva Braiman,0,,WI,Governor
Defiance,Bob Taft,7049,,R,Governor
